,company_name,category_list,funding_total_usd,status,country_code,state_code,funding_rounds,first_funding_at,last_funding_at,homepage_url_new,time_bw_first_rounds,avg_time_bw_rounds,avg_raised_usd,avg_time_bw_rounds_float,time_bw_first_rounds_float,status_new,investor_count,cat_new,Region
0,1-800-DENTIST,health and wellness,100000,operating,USA,CA,1,8/19/2010,8/19/2010,1,0 days 00:00:00.000000000,,21732739.24,0,0,0,2,healthcare,West
1,1-800-DOCTORS,health and wellness,1750000,operating,USA,NJ,1,3/2/2011,3/2/2011,1,0 days 00:00:00.000000000,,1750000,0,0,0,1,healthcare,Northeast
2,Redox,health care|health care information technology|hospitals,4000000,operating,USA,WI,2,11/26/2014,10/20/2015,1,328 days 00:00:00.000000000,328 days 00:00:00.000000000,2000000,328,328,1,6,healthcare,Midwest
3,10X Genomics,biotechnology|technology,55000000,operating,USA,CA,1,1/12/2015,1/12/2015,1,0 days 00:00:00.000000000,,55000000,0,0,1,3,biotech,West
4,10X Technologies,biotechnology,3550000,operating,USA,CA,2,11/7/2012,1/12/2015,1,796 days 00:00:00.000000000,796 days 00:00:00.000000000,1775000,796,796,1,1,biotech,West
5,12 Labs,health and wellness|personal health,935000,operating,USA,CA,1,11/26/2014,11/26/2014,1,0 days 00:00:00.000000000,,935000,0,0,1,5,healthcare,West
6,121nexus,health diagnostics|medical devices|personalization|pharmaceuticals|politics|software|technology,794000,operating,USA,RI,6,2/6/2012,1/1/2014,1,74 days 00:00:00.000000000,139 days 00:00:00.000000000,132333.3333,139,74,1,6,medical devices,Northeast
7,1CommMedical,health care|insurance|medical,2500000,operating,USA,IA,1,4/27/2015,4/27/2015,1,0 days 00:00:00.000000000,,2500000,0,0,1,1,medical/pharma,Midwest
8,1DayMakeover,cosmetics|e-commerce|fashion|lifestyle|personal health|shopping,50000,closed,USA,CA,1,6/30/2008,6/30/2008,1,0 days 00:00:00.000000000,,50000,0,0,0,1,healthcare,West
9,1DocWay,doctors|health care|health care information technology|video|video chat,1700000,acquired,USA,NY,2,8/10/2011,7/21/2015,1,1441 days 00:00:00.000000000,1441 days 00:00:00.000000000,1700000,1441,1441,1,12,healthcare,Northeast
